parcel_id,latitude,longitude,timestamp,driver_id,notes,stage
780281868,-17.2986,31.331,2019-01-01 03:07:37,219,Collected at Bindura,Collected
780281868,-17.2986,31.331,2019-01-01 07:07:37,10796,In transit from Bindura,In Transit
780281868,-17.2986,31.331,2019-01-01 11:07:37,129,Awaiting delivery in Bindura,Waiting for Delivery
436774999,-17.9243,25.8544,2019-01-01 12:30:39,1223,Collected at Victoria Falls,Collected
73361889,-20.0732,30.8298,2019-01-01 13:13:05,24,Collected at Masvingo,Collected
780281868,-17.2986,31.331,2019-01-01 14:07:37,255,Delivered in Bindura,Delivered
73361889,-20.0732,30.8298,2019-01-01 14:13:05,1223,In transit from Masvingo,In Transit
73361889,-20.0732,30.8298,2019-01-01 15:13:05,9,Awaiting delivery in Masvingo,Waiting for Delivery
436774999,-17.9243,25.8544,2019-01-01 15:30:39,1706,In transit from Victoria Falls,In Transit
73361889,-20.0732,30.8298,2019-01-01 18:13:05,1235,Delivered in Masvingo,Delivered
436774999,-17.9243,25.8544,2019-01-01 18:30:39,5174,Awaiting delivery in Victoria Falls,Waiting for Delivery
436774999,-17.9243,25.8544,2019-01-01 22:30:39,220,Delivered in Victoria Falls,Delivered
848110430,-20.0732,30.8298,2019-01-03 19:32:36,5173,Collected at Masvingo,Collected
848110430,-20.0732,30.8298,2019-01-03 22:32:36,131,In transit from Masvingo,In Transit
848110430,-20.0732,30.8298,2019-01-03 23:32:36,255,Awaiting delivery in Masvingo,Waiting for Delivery
740354569,-18.3336,29.896,2019-01-04 01:57:34,49,Collected at Kadoma,Collected
848110430,-20.0732,30.8298,2019-01-04 03:32:36,51,Delivered in Masvingo,Delivered
740354569,-18.3336,29.896,2019-01-04 04:57:34,131,In transit from Kadoma,In Transit
740354569,-18.3336,29.896,2019-01-04 07:57:34,10797,Awaiting delivery in Kadoma,Waiting for Delivery
740354569,-18.3336,29.896,2019-01-04 09:57:34,1707,Delivered in Kadoma,Delivered
547992398,-18.9281,29.8144,2019-01-04 12:04:16,1198,Collected at Kwekwe,Collected
547992398,-18.9281,29.8144,2019-01-04 16:04:16,10796,In transit from Kwekwe,In Transit
547992398,-18.9281,29.8144,2019-01-04 18:04:16,51,Awaiting delivery in Kwekwe,Waiting for Delivery
547992398,-18.9281,29.8144,2019-01-04 19:04:16,132,Delivered in Kwekwe,Delivered
580834163,-20.0732,30.8298,2019-01-06 01:06:49,876024,Collected at Masvingo,Collected
580834163,-20.0732,30.8298,2019-01-06 03:06:49,16,In transit from Masvingo,In Transit
580834163,-20.0732,30.8298,2019-01-06 07:06:49,1224,Awaiting delivery in Masvingo,Waiting for Delivery
580834163,-20.0732,30.8298,2019-01-06 10:06:49,129,Delivered in Masvingo,Delivered
326282004,-18.9707,32.6709,2019-01-06 10:26:49,24,Collected at Mutare,Collected
326282004,-18.9707,32.6709,2019-01-06 11:26:49,50,In transit from Mutare,In Transit
7645883,-17.8292,31.0522,2019-01-06 12:29:05,8,Collected at Harare,Collected
326282004,-18.9707,32.6709,2019-01-06 13:26:49,1199,Awaiting delivery in Mutare,Waiting for Delivery
7645883,-17.8292,31.0522,2019-01-06 14:29:05,254,In transit from Harare,In Transit
326282004,-18.9707,32.6709,2019-01-06 15:26:49,72025,Delivered in Mutare,Delivered
7645883,-17.8292,31.0522,2019-01-06 16:29:05,1199,Awaiting delivery in Harare,Waiting for Delivery
7645883,-17.8292,31.0522,2019-01-06 17:29:05,50,Delivered in Harare,Delivered
28830065,-20.0732,30.8298,2019-01-06 22:27:53,11474,Collected at Masvingo,Collected
28830065,-20.0732,30.8298,2019-01-06 23:27:53,254,In transit from Masvingo,In Transit
425356038,-19.4571,29.8167,2019-01-06 23:43:28,24,Collected at Gweru,Collected
28830065,-20.0732,30.8298,2019-01-07 03:27:53,129,Awaiting delivery in Masvingo,Waiting for Delivery
425356038,-19.4571,29.8167,2019-01-07 03:43:28,8,In transit from Gweru,In Transit
61850083,-20.1326,28.6265,2019-01-07 04:46:16,876024,Collected at Bulawayo,Collected
28830065,-20.0732,30.8298,2019-01-07 05:27:53,5174,Delivered in Masvingo,Delivered
61850083,-20.1326,28.6265,2019-01-07 05:46:16,49,In transit from Bulawayo,In Transit
425356038,-19.4571,29.8167,2019-01-07 06:43:28,1199,Awaiting delivery in Gweru,Waiting for Delivery
61850083,-20.1326,28.6265,2019-01-07 07:46:16,9,Awaiting delivery in Bulawayo,Waiting for Delivery
425356038,-19.4571,29.8167,2019-01-07 08:43:28,10797,Delivered in Gweru,Delivered
61850083,-20.1326,28.6265,2019-01-07 08:46:16,51,Delivered in Bulawayo,Delivered
65124546,-17.9243,25.8544,2019-01-08 15:56:12,876024,Collected at Victoria Falls,Collected
65124546,-17.9243,25.8544,2019-01-08 18:56:12,72024,In transit from Victoria Falls,In Transit
65124546,-17.9243,25.8544,2019-01-08 21:56:12,10797,Awaiting delivery in Victoria Falls,Waiting for Delivery
603559952,-18.3336,29.896,2019-01-09 00:59:21,131,Collected at Kadoma,Collected
65124546,-17.9243,25.8544,2019-01-09 01:56:12,132,Delivered in Victoria Falls,Delivered
603559952,-18.3336,29.896,2019-01-09 04:59:21,131,In transit from Kadoma,In Transit
603559952,-18.3336,29.896,2019-01-09 06:59:21,1199,Awaiting delivery in Kadoma,Waiting for Delivery
603559952,-18.3336,29.896,2019-01-09 08:59:21,72025,Delivered in Kadoma,Delivered
803117806,-17.8292,31.0522,2019-01-10 05:27:52,1223,Collected at Harare,Collected
803117806,-17.8292,31.0522,2019-01-10 08:27:52,16,In transit from Harare,In Transit
803117806,-17.8292,31.0522,2019-01-10 12:27:52,220,Awaiting delivery in Harare,Waiting for Delivery
803117806,-17.8292,31.0522,2019-01-10 16:27:52,132,Delivered in Harare,Delivered
