user_id,parcel_id,action,timestamp
1,993505835,Add to Cart,2021-08-21 18:14:10
1,959747133,Add to Cart,2023-03-05 18:12:03
1,727254457,Viewed,2022-10-28 04:45:09
1,126332146,Bought,2019-08-16 15:44:59
1,396057776,Bought,2023-06-04 11:09:47
1,501988765,Bought,2022-08-12 14:39:15
1,335259604,Add to Cart,2022-07-19 13:58:47
1,48126265,Add to Cart,2021-12-11 12:36:31
1,32366919,Add to Cart,2023-07-15 13:42:50
1,894291514,Add to Cart,2022-09-05 12:12:50
1,499922428,Viewed,2020-02-09 03:40:37
1,978533216,Viewed,2021-12-17 08:06:55
1,787013926,Add to Cart,2019-04-22 15:50:09
2,539875230,Bought,2023-03-26 17:11:09
2,624080518,Add to Cart,2022-10-21 08:06:02
2,779056726,Viewed,2023-08-13 21:29:11
2,551598244,Bought,2020-12-17 01:50:48
2,883729528,Bought,2023-06-28 16:00:29
2,482997664,Add to Cart,2023-01-09 04:47:54
2,155848925,Add to Cart,2023-05-17 11:03:50
2,927315735,Bought,2022-10-25 09:03:57
2,186039676,Bought,2021-07-09 09:32:57
3,546728743,Add to Cart,2021-07-28 21:17:08
3,230916208,Bought,2020-05-18 02:25:25
3,113129918,Viewed,2020-05-17 03:33:30
3,799957851,Viewed,2020-05-10 21:11:00
3,729196025,Add to Cart,2021-03-17 00:46:13
3,616084487,Add to Cart,2019-12-15 02:59:28
3,171015547,Add to Cart,2019-03-28 13:22:59
3,223731956,Add to Cart,2022-03-25 10:25:30
3,26713937,Viewed,2023-12-19 01:17:51
3,729911707,Add to Cart,2021-02-01 09:10:09
3,909552180,Viewed,2022-12-12 18:06:50
3,131065639,Viewed,2023-01-22 13:16:46
3,915274250,Add to Cart,2019-08-11 11:14:43
3,182582762,Viewed,2020-07-19 02:52:09
3,287380770,Viewed,2021-08-14 21:24:23
3,794882854,Viewed,2022-04-30 08:49:45
4,25154194,Bought,2020-12-05 20:15:41
4,40463524,Bought,2020-09-11 17:18:39
4,405857605,Bought,2020-05-13 00:05:27
4,530428019,Add to Cart,2023-12-20 23:27:59
4,10961200,Viewed,2022-11-15 10:21:59
4,956069765,Add to Cart,2021-09-30 15:42:15
4,58014289,Viewed,2023-08-24 17:44:33
4,832170152,Add to Cart,2022-05-06 01:26:48
4,710085824,Add to Cart,2019-11-06 18:10:18
4,125784441,Add to Cart,2021-01-25 07:40:44
4,167231184,Add to Cart,2021-02-20 10:06:02
4,473730009,Add to Cart,2020-01-04 19:07:16
4,600254542,Viewed,2022-03-03 11:32:42
4,956324062,Bought,2023-09-20 04:23:13
4,966594280,Bought,2023-11-21 20:56:41
4,19537329,Bought,2023-03-01 01:51:53
4,78860197,Viewed,2020-08-25 07:42:59
4,328810450,Bought,2019-04-10 18:42:14
4,51846265,Viewed,2023-11-07 13:36:33
4,215458487,Bought,2022-01-05 09:15:20
5,426996313,Add to Cart,2021-04-30 01:52:37
5,682208406,Add to Cart,2020-11-13 01:04:02
5,974358040,Add to Cart,2021-07-10 16:23:28
5,641081871,Add to Cart,2022-04-01 08:41:12
5,480361921,Viewed,2020-04-25 19:58:02
5,318722031,Bought,2020-07-06 01:28:08
5,407869616,Viewed,2022-03-07 22:45:59
5,867655300,Viewed,2020-12-05 01:25:04
5,982546756,Add to Cart,2020-05-20 18:25:51
5,157216478,Viewed,2019-09-13 11:12:29
5,618664339,Add to Cart,2021-01-02 20:15:35
5,420410072,Viewed,2021-06-16 11:27:01
5,454681134,Add to Cart,2023-08-06 12:22:49
5,48126265,Add to Cart,2022-02-28 04:40:09
6,588696178,Viewed,2023-06-27 15:08:46
6,439110327,Bought,2019-02-05 20:46:43
6,685682440,Viewed,2020-03-18 23:33:27
6,355083510,Viewed,2019-04-02 22:00:44
6,252293456,Bought,2021-07-27 19:28:27
6,665998234,Viewed,2023-12-30 02:41:49
6,452176975,Bought,2023-02-02 23:04:25
6,87256432,Add to Cart,2022-08-25 11:44:53
6,152638091,Bought,2019-08-02 14:39:10
6,742344254,Add to Cart,2022-07-11 23:12:40
6,31727971,Add to Cart,2021-02-01 10:03:06
7,919780970,Bought,2019-03-11 08:07:57
7,551239516,Bought,2022-04-16 08:03:29
7,328810450,Viewed,2020-11-15 07:12:04
7,223053286,Add to Cart,2021-02-17 11:15:45
7,287438903,Viewed,2020-09-26 20:35:47
7,257234914,Viewed,2020-11-12 12:43:04
7,517994520,Viewed,2021-11-04 20:35:54
7,222434931,Bought,2021-09-13 06:28:24
7,779056726,Bought,2020-01-26 17:52:32
7,366215483,Viewed,2019-06-10 05:27:37
7,457439128,Add to Cart,2021-12-01 00:41:01
7,223452248,Add to Cart,2022-05-18 23:02:29
